actor,character,first_appearance,company,purchase_date,shares,Date,Open,High,Low,Close,Volume,OpenInt,Unnamed: 0,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
,,,Teklist,5/26/2019,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Leenti,6/26/2019,406.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Kanoodle,9/10/2019,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Eare,8/10/2020,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Digitube,11/23/2018,306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fiveclub,12/13/2018,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Voonix,3/2/2020,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Quire,8/31/2019,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minyx,4/19/2019,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lajo,9/2/2020,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Avamba,6/12/2019,476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oba,7/13/2019,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Latz,3/30/2019,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Browsedrive,1/13/2019,346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wikizz,1/4/2020,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Yata,11/13/2019,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Vimbo,11/10/2019,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Voolia,7/6/2020,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oyonder,9/20/2019,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Vitz,6/27/2019,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Einti,7/4/2019,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitterworks,3/7/2019,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ntags,12/8/2019,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mydo,11/20/2019,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jazzy,10/9/2019,274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitterworks,8/6/2020,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Meejo,9/7/2019,312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Wikido,10/24/2019,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Browseblab,2/23/2020,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Agivu,11/17/2019,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Vimbo,1/30/2020,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Topicware,5/6/2020,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Thoughtsphere,6/2/2020,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Jamia,7/8/2020,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Katz,9/16/2020,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Brightbean,11/26/2018,466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zoombeat,7/8/2020,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Oyoyo,11/3/2019,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zoovu,8/26/2019,358.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Browsezoom,6/2/2020,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Demimbu,2/25/2019,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Minyx,7/8/2019,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Edgetag,1/28/2020,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Livetube,4/26/2019,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Layo,12/13/2019,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Yotz,9/28/2020,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Realmix,10/17/2019,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Flashpoint,8/9/2019,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LiveZ,10/23/2019,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Skiba,6/5/2020,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Meembee,1/8/2019,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Thoughtworks,4/23/2019,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dabjam,2/25/2019,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Twitterbeat,2/7/2020,454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Dynabox,12/13/2018,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Linklinks,10/16/2020,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Blogtag,11/16/2019,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Gigazoom,7/21/2019,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Shuffletag,5/26/2019,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Agimba,11/11/2018,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Meevee,12/9/2018,364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Digitube,11/21/2019,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Vinder,4/19/2019,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Quinu,12/23/2019,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zoomzone,9/10/2020,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Buzzshare,2/2/2020,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zoombeat,7/8/2019,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Zooxo,3/5/2019,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cogidoo,3/23/2020,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ailane,9/5/2019,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-02,20.0,20.1,17.6,18.5,2799073.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-03,18.2,18.75,18.05,18.65,155562.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-06,18.48,19.58,18.48,19.24,188229.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-07,19.25,19.48,18.93,19.24,176606.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-08,19.17,19.48,18.9,19.13,37046.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-09,19.16,19.55,19.0,19.25,114523.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-10,19.25,19.36,18.77,19.0,34775.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-13,18.92,19.1,18.64,19.0,52514.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-14,19.03,19.03,17.91,18.1,126457.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2018-10-15,18.07,19.5,18.0,19.43,46156.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Gwendoline Christie,Brienne Of Tarth,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Wlaschiha[e],Jaqen H'Ghar,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,9.0,111,5000,21.0,27.0,13495
,,,,,,,,,,,,,2.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,four,130.0,mpfi,9.0,111,5000,21.0,27.0,16500
,,,,,,,,,,,,,3.0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823.0,ohcv,six,152.0,mpfi,9.0,154,5000,19.0,26.0,16500
,,,,,,,,,,,,,4.0,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337.0,ohc,four,109.0,mpfi,10.0,102,5500,24.0,30.0,13950
,,,,,,,,,,,,,5.0,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824.0,ohc,five,136.0,mpfi,8.0,115,5500,18.0,22.0,17450
,,,,,,,,,,,,,6.0,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507.0,ohc,five,136.0,mpfi,8.5,110,5500,19.0,25.0,15250
,,,,,,,,,,,,,7.0,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844.0,ohc,five,136.0,mpfi,8.5,110,5500,19.0,25.0,17710
,,,,,,,,,,,,,8.0,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954.0,ohc,five,136.0,mpfi,8.5,110,5500,19.0,25.0,18920
,,,,,,,,,,,,,9.0,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086.0,ohc,five,131.0,mpfi,8.3,140,5500,17.0,20.0,23875
,,,,,,,,,,,,,10.0,audi,gas,turbo,two,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053.0,ohc,five,131.0,mpfi,7.0,160,5500,16.0,22.0,?
,,,,,,,,,,,,,11.0,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,four,108.0,mpfi,8.8,101,5800,23.0,29.0,16430
,,,,,,,,,,,,,12.0,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,four,108.0,mpfi,8.8,101,5800,23.0,29.0,16925
,,,,,,,,,,,,,13.0,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710.0,ohc,six,164.0,mpfi,9.0,121,4250,21.0,28.0,20970
,,,,,,,,,,,,,14.0,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,ohc,six,164.0,mpfi,9.0,121,4250,21.0,28.0,21105
,,,,,,,,,,,,,15.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,ohc,six,164.0,mpfi,9.0,121,4250,20.0,25.0,24565
,,,,,,,,,,,,,16.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230.0,ohc,six,209.0,mpfi,8.0,182,5400,16.0,22.0,30760
,,,,,,,,,,,,,17.0,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380.0,ohc,six,209.0,mpfi,8.0,182,5400,16.0,22.0,41315
,,,,,,,,,,,,,18.0,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505.0,ohc,six,209.0,mpfi,8.0,182,5400,15.0,20.0,36880
,,,,,,,,,,,,,19.0,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488.0,l,three,61.0,2bbl,9.5,48,5100,47.0,53.0,5151
,,,,,,,,,,,,,20.0,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90.0,2bbl,9.6,70,5400,38.0,43.0,6295
,,,,,,,,,,,,,21.0,chevrolet,gas,std,four,sedan,fwd,front,94.5,158.8,63.6,52.0,1909.0,ohc,four,90.0,2bbl,9.6,70,5400,38.0,43.0,6575
,,,,,,,,,,,,,22.0,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90.0,2bbl,9.41,68,5500,37.0,41.0,5572
,,,,,,,,,,,,,23.0,dodge,gas,std,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876.0,ohc,four,90.0,2bbl,9.4,68,5500,31.0,38.0,6377
,,,,,,,,,,,,,24.0,dodge,gas,turbo,two,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128.0,ohc,four,98.0,mpfi,7.6,102,5500,24.0,30.0,7957
,,,,,,,,,,,,,25.0,dodge,gas,std,four,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967.0,ohc,four,90.0,2bbl,9.4,68,5500,31.0,38.0,6229
,,,,,,,,,,,,,26.0,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,2bbl,9.4,68,5500,31.0,38.0,6692
,,,,,,,,,,,,,27.0,dodge,gas,std,four,sedan,fwd,front,93.7,157.3,63.8,50.6,1989.0,ohc,four,90.0,2bbl,9.4,68,5500,31.0,38.0,7609
,,,,,,,,,,,,,28.0,dodge,gas,turbo,?,sedan,fwd,front,93.7,157.3,63.8,50.6,2191.0,ohc,four,98.0,mpfi,7.6,102,5500,24.0,30.0,8558
,,,,,,,,,,,,,29.0,dodge,gas,std,four,wagon,fwd,front,103.3,174.6,64.6,59.8,2535.0,ohc,four,122.0,2bbl,8.5,88,5000,24.0,30.0,8921
,,,,,,,,,,,,,30.0,dodge,gas,turbo,two,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811.0,ohc,four,156.0,mfi,7.0,145,5000,19.0,24.0,12964
,,,,,,,,,,,,,31.0,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713.0,ohc,four,92.0,1bbl,9.6,58,4800,49.0,54.0,6479
,,,,,,,,,,,,,32.0,honda,gas,std,two,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819.0,ohc,four,92.0,1bbl,9.2,76,6000,31.0,38.0,6855
,,,,,,,,,,,,,33.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1837.0,ohc,four,79.0,1bbl,10.1,60,5500,38.0,42.0,5399
,,,,,,,,,,,,,34.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1940.0,ohc,four,92.0,1bbl,9.2,76,6000,30.0,34.0,6529
,,,,,,,,,,,,,35.0,honda,gas,std,two,hatchback,fwd,front,93.7,150.0,64.0,52.6,1956.0,ohc,four,92.0,1bbl,9.2,76,6000,30.0,34.0,7129
,,,,,,,,,,,,,36.0,honda,gas,std,four,sedan,fwd,front,96.5,163.4,64.0,54.5,2010.0,ohc,four,92.0,1bbl,9.2,76,6000,30.0,34.0,7295
,,,,,,,,,,,,,37.0,honda,gas,std,four,wagon,fwd,front,96.5,157.1,63.9,58.3,2024.0,ohc,four,92.0,1bbl,9.2,76,6000,30.0,34.0,7295
,,,,,,,,,,,,,38.0,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2236.0,ohc,four,110.0,1bbl,9.0,86,5800,27.0,33.0,7895
,,,,,,,,,,,,,39.0,honda,gas,std,two,hatchback,fwd,front,96.5,167.5,65.2,53.3,2289.0,ohc,four,110.0,1bbl,9.0,86,5800,27.0,33.0,9095
,,,,,,,,,,,,,40.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2304.0,ohc,four,110.0,1bbl,9.0,86,5800,27.0,33.0,8845
,,,,,,,,,,,,,41.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,62.5,54.1,2372.0,ohc,four,110.0,1bbl,9.0,86,5800,27.0,33.0,10295
,,,,,,,,,,,,,42.0,honda,gas,std,four,sedan,fwd,front,96.5,175.4,65.2,54.1,2465.0,ohc,four,110.0,mpfi,9.0,101,5800,24.0,28.0,12945
,,,,,,,,,,,,,43.0,honda,gas,std,two,sedan,fwd,front,96.5,169.1,66.0,51.0,2293.0,ohc,four,110.0,2bbl,9.1,100,5500,25.0,31.0,10345
,,,,,,,,,,,,,44.0,isuzu,gas,std,four,sedan,rwd,front,94.3,170.7,61.8,53.5,2337.0,ohc,four,111.0,2bbl,8.5,78,4800,24.0,29.0,6785
,,,,,,,,,,,,,45.0,isuzu,gas,std,two,sedan,fwd,front,94.5,155.9,63.6,52.0,1874.0,ohc,four,90.0,2bbl,9.6,70,5400,38.0,43.0,?
,,,,,,,,,,,,,46.0,isuzu,gas,std,four,sedan,fwd,front,94.5,155.9,63.6,52.0,1909.0,ohc,four,90.0,2bbl,9.6,70,5400,38.0,43.0,?
,,,,,,,,,,,,,47.0,isuzu,gas,std,two,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734.0,ohc,four,119.0,spfi,9.2,90,5000,24.0,29.0,11048
,,,,,,,,,,,,,48.0,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,8.1,176,4750,15.0,19.0,32250
,,,,,,,,,,,,,49.0,jaguar,gas,std,four,sedan,rwd,front,113.0,199.6,69.6,52.8,4066.0,dohc,six,258.0,mpfi,8.1,176,4750,15.0,19.0,35550
,,,,,,,,,,,,,50.0,jaguar,gas,std,two,sedan,rwd,front,102.0,191.7,70.6,47.8,3950.0,ohcv,twelve,326.0,mpfi,11.5,262,5000,13.0,17.0,36000
,,,,,,,,,,,,,51.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890.0,ohc,four,91.0,2bbl,9.0,68,5000,30.0,31.0,5195
,,,,,,,,,,,,,52.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900.0,ohc,four,91.0,2bbl,9.0,68,5000,31.0,38.0,6095
,,,,,,,,,,,,,53.0,mazda,gas,std,two,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905.0,ohc,four,91.0,2bbl,9.0,68,5000,31.0,38.0,6795
,,,,,,,,,,,,,54.0,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1945.0,ohc,four,91.0,2bbl,9.0,68,5000,31.0,38.0,6695
,,,,,,,,,,,,,55.0,mazda,gas,std,four,sedan,fwd,front,93.1,166.8,64.2,54.1,1950.0,ohc,four,91.0,2bbl,9.0,68,5000,31.0,38.0,7395
,,,,,,,,,,,,,56.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,9.4,101,6000,17.0,23.0,10945
,,,,,,,,,,,,,57.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380.0,rotor,two,70.0,4bbl,9.4,101,6000,17.0,23.0,11845
,,,,,,,,,,,,,58.0,mazda,gas,std,two,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385.0,rotor,two,70.0,4bbl,9.4,101,6000,17.0,23.0,13645
